    0.00       4.300     2.470      
    3.00       4.900     2.820    
    8.00       5.700     3.270    
	 16.00       6.900     3.960      
	 24.00       7.100     4.080    
	 77.00       7.800     4.480    
	120.00       8.050     4.630     
  165.00       8.170     4.690     
  210.00       8.170     4.690     
